undetermined read_count	1492309
mapped read_count	13422618
overall read_count	14914927.0

undetermined yield	450677318
mapped yield	4053630636
overall yield	4504307954

undetermined_proportion	0.1001
mapped_proportion	0.8999

sample_name	number_of_reads	yield	fraction_of_all_reads
-KGKY-RWB-211-EAR-2023-MSMT-1	50020	15106040	0.0034
KGNG-CVU131-VJJ-2023-MSMT-1	49853	15055606	0.0033
KGKY-RWB-225-EEE-2023-MSMT-1	49339	14900378	0.0033
KGKY-RUG-133-NAS-2023-MSMT-1	49045	14811590	0.0033
KGKA-BKG213-SSS-2023-MSMT-1	49785	15035070	0.0033
KGKA-BKG-142-LKS-2023-MSMT-1	49479	14942658	0.0033
KGKA-BKG-096-MUM-2023-MSMT-1	49201	14858702	0.0033
KGBR-BUT309-TKS-2023-MSMT-1	49471	14940242	0.0033
KGBR-BUT282-CCR-2023-MSMT-1	49572	14970744	0.0033
KGNG-CVU033-JSS-2023-MSMT-1	48407	14618914	0.0032
KGKY-RWB055-VJM-2023-MSMT-1	47011	14197322	0.0032
KGKY-RUG-132-SAA-2023-MSMT-1	48359	14604418	0.0032
KGKA-BKG237-ASM-2023-MSMT-1	47588	14371576	0.0032
KGKA-BKG-119-BMA-2023-MSMT-1	47019	14199738	0.0032
KGBR-BUT293-ARR-2023-MSMT-1	48452	14632504	0.0032
KGBR-BUT276-AAG-2023-MSMT-1	47216	14259232	0.0032
KGBR-BUT160-MEA-2023-MSMT-1	47221	14260742	0.0032
KGNG-CVU079-SHM-2023-MSMT-1	46087	13918274	0.0031
KGNG-CVU057-GPD-2023-MSMT-1	46005	13893510	0.0031
KGNG-CVU056-MMD-2023-MSMT-1	46558	14060516	0.0031
KGKY-RWB-269-CPT-2023-MSMT-1	46335	13993170	0.0031
KGKY-RUG-131-RIJ-2023-MSMT-1	46600	14073200	0.0031
KGKY-RUG-031-AAA-2023-MSMT-1	46676	14096152	0.0031
KGKA-BKG221-RAB-2023-MSMT-1	45672	13792944	0.0031
KGBR-BUT305-IFJ-2023-MSMT-1	46093	13920086	0.0031
KGBR-BUT216-ATP-2023-MSMT-1	46371	14004042	0.0031
KGBI-KZB-011-MSM-2023-MSMT-1	45673	13793246	0.0031
-KGBR-BUT315-JMB-2023-MSMT-1	46480	14036960	0.0031
KGNG-CVU100-AAA-2023-MSMT-1	44960	13577920	0.003
KGNG-CVU061-NDJ-2023-MSMT-1	45217	13655534	0.003
KGNG-CVU025-YYA-2023-MSMT-1	45112	13623824	0.003
KGKY-RUG-066-AAW-2023-MSMT-1	44414	13413028	0.003
KGKA-BKG-044-VJJ-2023-MSMT-1	44077	13311254	0.003
KGBR-BUT033-AAD-2023-MSMT-1	44955	13576410	0.003
KGNG-CVU121-BEE-2023-MSMT-1	42896	12954592	0.0029
KGNG-CVU010-IBB-2023-MSMT-1	43718	13202836	0.0029
KGKY-RUG-136-RPK-2023-MSMT-1	43556	13153912	0.0029
KGKA-BKG-141-RAL-2023-MSMT-1	42693	12893286	0.0029
KGKA-BKG-067-SDW-2023-MSMT-1	42594	12863388	0.0029
KGKA-BKG-066-LAR-2023-MSMT-1	42976	12978752	0.0029
KGBR-BUT287-WWR-2023-MSMT-1	43464	13126128	0.0029
KGBR-BUT172-AKM-2023-MSMT-1	43027	12994154	0.0029
KGBR-BUT130-SAJ-2023-MSMT-1	42576	12857952	0.0029
KGKY-RUG-071-AWK-2023-MSMT-1	42151	12729602	0.0028
KGKY-RUG-045-AAK-2023-MSMT-1	42368	12795136	0.0028
KGKA-BKG-131-SMR-2023-MSMT-1	41121	12418542	0.0028
KGBR-BUT300-RAS-2023-MSMT-1	41821	12629942	0.0028
KGBR-BUT276-JAW-2023-MSMT-1	41472	12524544	0.0028
KGBR-BUT228-PNR-2023-MSMT-1	41717	12598534	0.0028
KGBR-BUT080-ATD-2023-MSMT-1	41605	12564710	0.0028
KGBR-BUT036-JAE-2023-MSMT-1	42263	12763426	0.0028
KGNG-CVU133-SJA-2023-MSMT-1	40775	12314050	0.0027
KGNG-CVU062-NEY-2023-MSMT-1	40534	12241268	0.0027
KGKY-RWB-231-ATD-2023-MSMT-1	40500	12231000	0.0027
KGKY-RUG-119-ADK-2023-MSMT-1	40536	12241872	0.0027
KGKY-RUG-112-CPR-2023-MSMT-1	39993	12077886	0.0027
KGKA-BKG-175-AMA-2023-MSMT-1	39876	12042552	0.0027
KGKA-BKG-042-TTK-2023-MSMT-1	40246	12154292	0.0027
KGBR-BUT286-JKV-2023-MSMT-1	39663	11978226	0.0027
KGNG-CVU029-GGN-2023-MSMT-1	38747	11701594	0.0026
KGKY-RWB-265-DSJ-2023-MSMT-1	38194	11534588	0.0026
KGKY-RWB-261-EDK-2023-MSMT-1	38302	11567204	0.0026
KGKY-RWB-260-MSA-2023-MSMT-1	38064	11495328	0.0026
KGKY-RUG-122-LGF-2023-MSMT-1	38773	11709446	0.0026
KGKY-RUG-052-RRK-2023-MSMT-1	38040	11488080	0.0026
KGBR-BUT169-MKT-2023-MSMT-1	38730	11696460	0.0026
KGBR-BUT081-EMN-2023-MSMT-1	38874	11739948	0.0026
KGBR-BUT032-CKC-2023-MSMT-1	38683	11682266	0.0026
KGNG-CVU005-MDS-2023-MSMT-1	37539	11336778	0.0025
KGKY-RUG-123-FGF-2023-MSMT-1	36696	11082192	0.0025
KGKA-BKG-082-KNS-2023-MSMT-1	37435	11305370	0.0025
KGBR-BUT288-MWR-2023-MSMT-1	37706	11387212	0.0025
KGBR-BUT223-AAR-2023-MSMT-1	36766	11103332	0.0025
KGBR-BUT215-DJW-2023-MSMT-1	38015	11480530	0.0025
KGBR-BUT155-AJI-2023-MSMT-1	37528	11333456	0.0025
KGBR-BUT086-RAF-2023-MSMT-1	37306	11266412	0.0025
KGNG-CVU008-JBP-2023-MSMT-1	36211	10935722	0.0024
KGKY-RWB059-ETA-2023-MSMT-1	35711	10784722	0.0024
KGKY-RUG-049-JMK-2023-MSMT-1	36077	10895254	0.0024
KGKA-BKG239-AMD-2023-MSMT-1	35132	10609864	0.0024
KGKA-BKG186-LEE187-MEF-2023-MSMT-1	35206	10632212	0.0024
KGKA-BKG-099-JSK-2023-MSMT-1	35283	10655466	0.0024
KGBR-BUT037-KKE-2023-MSMT-1	35469	10711638	0.0024
KGNG-CVU021-GJJ-2023-MSMT-1	34832	10519264	0.0023
KGKY-RWB-264-ASK-2023-MSMT-1	33955	10254410	0.0023
KGKY-RWB-212-AMM-2023-MSMT-1	34307	10360714	0.0023
KGKY-RUG-134-LAJ-2023-MSMT-1	35016	10574832	0.0023
KGKA-BKG-020-BMA-2023-MSMT-1	34749	10494198	0.0023
KGBR-BUT311-DDD-2023-MSMT-1	33859	10225418	0.0023
KGBR-BUT204-LTL-2023-MSMT-1	35028	10578456	0.0023
KGBR-BUT185-VKF-2023-MSMT-1	33654	10163508	0.0023
KGBR-BUT116-SSB-2023-MSMT-1	34257	10345614	0.0023
KGBI-KZB-021-MBH-2023-MSMT-1	34597	10448294	0.0023
DD2-2023-MSMT-6	33680	10171360	0.0023
KGKY-RWB-224-GGW-2023-MSMT-1	32767	9895634	0.0022
KGKY-RUG-109-LKB-2023-MSMT-1	32751	9890802	0.0022
KGKY-RUG-103-EAE-2023-MSMT-1	32644	9858488	0.0022
KGKA-BKG238-CSM-2023-MSMT-1	33557	10134214	0.0022
